SYMBOL,TOTTRDQTY,TIMESTAMP
BOSCHLTD,34921,16-Apr-20
BPCL,5915878,16-Apr-20
BRITANNIA,675907,16-Apr-20
CADILAHC,7473616,16-Apr-20
CANBK,11292993,16-Apr-20
CENTURYTEX,1139613,16-Apr-20
CESC,568136,16-Apr-20
CHOLAFIN,8238477,16-Apr-20
CIPLA,12716392,16-Apr-20
COALINDIA,9736874,16-Apr-20
COLPAL,789988,16-Apr-20
CONCOR,1819182,16-Apr-20
CUMMINSIND,2037046,16-Apr-20
DABUR,3438673,16-Apr-20
DIVISLAB,1350131,16-Apr-20
DLF,13414652,16-Apr-20
DRREDDY,1465944,16-Apr-20
EICHERMOT,250147,16-Apr-20
EQUITAS,9918285,16-Apr-20
ESCORTS,3882012,16-Apr-20
EXIDEIND,4170413,16-Apr-20
FEDERALBNK,15770006,16-Apr-20
GAIL,13298644,16-Apr-20
GLENMARK,8576013,16-Apr-20
GMRINFRA,11150437,16-Apr-20
GODREJCP,1768369,16-Apr-20
GODREJPROP,627805,16-Apr-20
GRASIM,3595017,16-Apr-20
HAVELLS,1966417,16-Apr-20
HCLTECH,10484847,16-Apr-20
HDFC,7892749,16-Apr-20
HDFCBANK,26927231,16-Apr-20
HDFCLIFE,5065365,16-Apr-20
HEROMOTOCO,1453650,16-Apr-20
HINDALCO,18972010,16-Apr-20
HINDPETRO,4873925,16-Apr-20
HINDUNILVR,5388258,16-Apr-20
IBULHSGFIN,54680482,16-Apr-20
ICICIBANK,56494211,16-Apr-20
ICICIPRULI,4089522,16-Apr-20
IDEA,403258814,16-Apr-20
IDFCFIRSTB,29166210,16-Apr-20
IGL,4011476,16-Apr-20
INDIGO,1960417,16-Apr-20
INDUSINDBK,23556870,16-Apr-20
INFRATEL,6471943,16-Apr-20
INFY,17783310,16-Apr-20
IOC,11993071,16-Apr-20
ITC,27082646,16-Apr-20
JINDALSTEL,21890027,16-Apr-20
JSWSTEEL,10428942,16-Apr-20
JUBLFOOD,2215243,16-Apr-20
JUSTDIAL,3946048,16-Apr-20
KOTAKBANK,11055210,16-Apr-20
L&TFH,26701025,16-Apr-20
LICHSGFIN,5566762,16-Apr-20
LT,6980628,16-Apr-20
LUPIN,3963325,16-Apr-20
M&M,6155773,16-Apr-20
M&MFIN,8090288,16-Apr-20
MANAPPURAM,10656976,16-Apr-20
MARICO,6058564,16-Apr-20
MARUTI,1752170,16-Apr-20
MCDOWELL-N,4217576,16-Apr-20
MFSL,5300471,16-Apr-20
MGL,780373,16-Apr-20
MINDTREE,780543,16-Apr-20
MOTHERSUMI,50160597,16-Apr-20
MRF,22062,16-Apr-20
MUTHOOTFIN,4330356,16-Apr-20
NATIONALUM,5999344,16-Apr-20
NAUKRI,579119,16-Apr-20
NCC,43878207,16-Apr-20
NESTLEIND,225740,16-Apr-20
NIITTECH,452690,16-Apr-20
NMDC,4012090,16-Apr-20
NTPC,20876392,16-Apr-20
OIL,3011290,16-Apr-20
ONGC,24473642,16-Apr-20
PAGEIND,55329,16-Apr-20
PEL,2609106,16-Apr-20
PETRONET,5049214,16-Apr-20
PFC,4994942,16-Apr-20
PIDILITIND,1028043,16-Apr-20
PNB,19994398,16-Apr-20
POWERGRID,17522308,16-Apr-20
PVR,2230729,16-Apr-20
RAMCOCEM,1410534,16-Apr-20
RBLBANK,22608799,16-Apr-20
RECLTD,4769706,16-Apr-20
RELIANCE,17123533,16-Apr-20
SAIL,19014842,16-Apr-20
