SYMBOL,EXPIRY_DT,OPEN_INT,CHG_IN_OI,TIMESTAMP,HighCOI%
BANKNIFTY,05-Mar-2020,685980.0,291700.0,05-MAR-2020,42.52310562990175
BANKNIFTY,05-Mar-2020,806660.0,445220.0,05-MAR-2020,55.19301812411673
BANKNIFTY,05-Mar-2020,403440.0,93420.0,05-MAR-2020,23.155859607376563
BANKNIFTY,05-Mar-2020,709840.0,-21600.0,05-MAR-2020,-3.0429392539163755
BANKNIFTY,05-Mar-2020,264840.0,-41800.0,05-MAR-2020,-15.783114333182299
BANKNIFTY,05-Mar-2020,142940.0,-182220.0,05-MAR-2020,-127.4800615642927
BANKNIFTY,05-Mar-2020,152060.0,-80380.0,05-MAR-2020,-52.860712876496116
BANKNIFTY,05-Mar-2020,124360.0,-59040.0,05-MAR-2020,-47.475072370537156
BANKNIFTY,05-Mar-2020,476280.0,-179840.0,05-MAR-2020,-37.75930125136474
BANKNIFTY,05-Mar-2020,71420.0,-41520.0,05-MAR-2020,-58.134976197143665
BANKNIFTY,05-Mar-2020,83040.0,-37880.0,05-MAR-2020,-45.616570327552985
BANKNIFTY,05-Mar-2020,65340.0,-39280.0,05-MAR-2020,-60.11631466176921
BANKNIFTY,05-Mar-2020,71980.0,-14760.0,05-MAR-2020,-20.505696026674077
BANKNIFTY,05-Mar-2020,214740.0,-52820.0,05-MAR-2020,-24.59718729626525
BANKNIFTY,05-Mar-2020,49420.0,-20280.0,05-MAR-2020,-41.03601780655605
BANKNIFTY,05-Mar-2020,28020.0,-11460.0,05-MAR-2020,-40.899357601713064
BANKNIFTY,05-Mar-2020,55060.0,-6820.0,05-MAR-2020,-12.38648746821649
BANKNIFTY,05-Mar-2020,31200.0,400.0,05-MAR-2020,1.282051282051282
BANKNIFTY,05-Mar-2020,203540.0,-21920.0,05-MAR-2020,-10.769381939667879
BANKNIFTY,05-Mar-2020,13640.0,-5040.0,05-MAR-2020,-36.950146627565985
BANKNIFTY,05-Mar-2020,19540.0,-5260.0,05-MAR-2020,-26.919140225179124
BANKNIFTY,05-Mar-2020,24540.0,-2260.0,05-MAR-2020,-9.209453952730236
BANKNIFTY,05-Mar-2020,22040.0,-1880.0,05-MAR-2020,-8.52994555353902
BANKNIFTY,05-Mar-2020,56220.0,-15580.0,05-MAR-2020,-27.712557808609034
BANKNIFTY,05-Mar-2020,3360.0,-180.0,05-MAR-2020,-5.357142857142857
BANKNIFTY,05-Mar-2020,1400.0,-320.0,05-MAR-2020,-22.857142857142858
BANKNIFTY,05-Mar-2020,14460.0,-1080.0,05-MAR-2020,-7.468879668049793
BANKNIFTY,05-Mar-2020,1440.0,-120.0,05-MAR-2020,-8.333333333333332
BANKNIFTY,05-Mar-2020,132620.0,-10500.0,05-MAR-2020,-7.917357864575479
BANKNIFTY,05-Mar-2020,5560.0,3120.0,05-MAR-2020,56.11510791366906
BANKNIFTY,05-Mar-2020,4020.0,-1440.0,05-MAR-2020,-35.82089552238806
BANKNIFTY,05-Mar-2020,140.0,-80.0,05-MAR-2020,-57.14285714285714
BANKNIFTY,05-Mar-2020,14760.0,-420.0,05-MAR-2020,-2.8455284552845526
BANKNIFTY,05-Mar-2020,15400.0,-3780.0,05-MAR-2020,-24.545454545454547
BANKNIFTY,05-Mar-2020,120.0,120.0,05-MAR-2020,100.0
BANKNIFTY,05-Mar-2020,1040.0,-20.0,05-MAR-2020,-1.9230769230769231
BANKNIFTY,05-Mar-2020,100.0,60.0,05-MAR-2020,60.0
BANKNIFTY,05-Mar-2020,20.0,20.0,05-MAR-2020,100.0
BANKNIFTY,05-Mar-2020,2080.0,2080.0,05-MAR-2020,100.0
BANKNIFTY,05-Mar-2020,4960.0,-240.0,05-MAR-2020,-4.838709677419355
BANKNIFTY,05-Mar-2020,17620.0,-16700.0,05-MAR-2020,-94.77866061293983
BANKNIFTY,05-Mar-2020,100.0,80.0,05-MAR-2020,80.0
BANKNIFTY,05-Mar-2020,580.0,-220.0,05-MAR-2020,-37.93103448275862
